rule,n,n_miss,mean_ret,sum_ret,win_rate,p50,same_day_ticker_rate
alpha_0.25_speed_H10,261,0,0.10561465891517652,27.56542597686107,0.5287356321839081,0.03815261044176688,0.210727969348659
speed_H10,261,0,0.1049411914068636,27.3896509571914,0.5363984674329502,0.03899721448467974,0.31417624521072796
alpha_0.5,261,0,0.10459106561963032,27.298268126723514,0.5325670498084292,0.03815261044176688,0.1724137931034483
alpha_0.25_speed_H5,261,0,0.1042126266696636,27.1994955607822,0.5287356321839081,0.03815261044176688,0.2260536398467433
speed_H15,261,0,0.10403284871419848,27.152573514405802,0.5287356321839081,0.03828828828828801,0.29118773946360155
nearest_spot,261,0,0.10394768050997998,27.130344613104775,0.5478927203065134,0.03828828828828801,0.3218390804597701
alpha_0.0,261,0,0.10394768050997998,27.130344613104775,0.5478927203065134,0.03828828828828801,0.3218390804597701
speed_H5,261,0,0.10374391369924875,27.077161475503924,0.5363984674329502,0.03828828828828801,0.32950191570881227
alpha_0.5_speed_H5,261,0,0.10327072597025777,26.953659478237277,0.5287356321839081,0.036082474226803996,0.1532567049808429
alpha_0.25,261,0,0.10311473090708329,26.912944766748737,0.5287356321839081,0.03828828828828801,0.2720306513409962
speed_H20,261,0,0.1021468354294776,26.660324047093653,0.524904214559387,0.037463976945244726,0.2796934865900383
alpha_0.5_speed_H10,261,0,0.09802745500644683,25.585165756682624,0.524904214559387,0.032258064516129004,0.1417624521072797
day_lock_ticker,261,0,0.09725420020906025,25.383346254564728,0.5287356321839081,0.037463976945244726,0.8544061302681992
alpha_0.75,261,0,0.09176250267566312,23.950013198348074,0.5210727969348659,0.022900763358778553,0.15708812260536398
speed_H30,261,0,0.08728075314007944,22.780276569560733,0.5134099616858238,0.022900763358778553,0.2260536398467433
alpha_1.0,261,0,0.0702429143875519,18.333400655151046,0.5057471264367817,0.016666666666666607,0.11877394636015326
alpha_1.25,259,2,0.0685819897229598,17.76273533824659,0.4980694980694981,-0.003875968992248069,0.12260536398467432
alpha_1.5,258,3,0.06324225139678966,16.316500860371733,0.4883720930232558,-0.01576435775610574,0.12260536398467432
alpha_2.0,255,6,0.04996572304649846,12.741259376857109,0.47058823529411764,-0.025469168900804307,0.13409961685823754
