ts,symbol,dir,side,rank,spot,contract,bucket_id,moneyness,source
2026-05-06T10:30:00-04:00,MSFT,UP,CALL,1,416.37,MSFT260506C00412500,2,ATM,maga7_mf10_top2
2026-05-06T10:40:00-04:00,NVDA,UP,CALL,2,205.27,NVDA260506C00207500,2,ATM,maga7_mf10_top2
2026-05-07T10:36:00-04:00,TSLA,UP,CALL,1,411.92,TSLA260508C00415000,2,ATM,maga7_mf10_top2
2026-05-07T10:51:00-04:00,MSFT,UP,CALL,2,425.02,MSFT260508C00425000,2,ATM,maga7_mf10_top2
2026-05-08T10:30:00-04:00,AAPL,UP,CALL,1,293.92,AAPL260508C00292500,2,ATM,maga7_mf10_top2
2026-05-08T10:50:00-04:00,TSLA,UP,CALL,2,426.3201,TSLA260508C00425000,2,ATM,maga7_mf10_top2
