date,symbol,direction,contract,rank,entry,exit,ret,reason,entry_ts,exit_ts,entry_bid,entry_ask,exit_bid,exit_ask,qty_frac,pnl_equity
2026-05-06,MSFT,UP,MSFT260506C00412500,1,4.27,3.09,-0.27634660421545665,T+30,2026-05-06T10:30:00-04:00,2026-05-06T11:00:00-04:00,4.15,4.3,3.05,3.25,0.125,-3.454332552693208
2026-05-06,NVDA,UP,NVDA260506C00207500,2,0.408,0.242,-0.4068627450980392,T+30,2026-05-06T10:40:00-04:00,2026-05-06T11:10:00-04:00,0.4,0.41,0.24,0.25,0.125,-4.9101044106167056
2026-05-07,TSLA,UP,TSLA260508C00415000,1,4.09,3.02,-0.26161369193154027,T+30,2026-05-07T10:36:00-04:00,2026-05-07T11:06:00-04:00,4.05,4.1,3.0,3.1,0.125,-2.996639744781735
2026-05-07,MSFT,UP,MSFT260508C00425000,2,3.62,4.22,0.16574585635359096,T+30,2026-05-07T10:51:00-04:00,2026-05-07T11:21:01-04:00,3.5,3.65,4.2,4.3,0.125,1.8364417809097013
2026-05-08,AAPL,UP,AAPL260508C00292500,1,1.85,1.586,-0.1427027027027027,T+30,2026-05-08T10:30:00-04:00,2026-05-08T11:00:01-04:00,1.81,1.86,1.57,1.65,0.125,-1.6138848904881056
2026-05-08,TSLA,UP,TSLA260508C00425000,2,3.24,5.22,0.6111111111111109,TP,2026-05-08T10:50:00-04:00,2026-05-08T10:57:02-04:00,3.2,3.25,5.2,5.3,0.125,6.788029736150202
