timestamp,symbol,price,alpha,cs_alpha_z,event_prob,vol_z,roc_5m
1767366060.0,NVDA,191.7300,-0.5712,-0.5712,0.0571,0.0000,0.000000
1767366060.0,AAPL,276.9550,-0.5601,-0.5601,0.0072,0.0000,0.000000
1767366060.0,META,661.5400,1.9853,1.9853,0.0025,0.0000,0.000000
1767366060.0,PLTR,177.1200,-0.5451,-0.5451,0.0082,0.0000,0.000000
1767366060.0,TSLA,452.5300,-0.5378,-0.5378,0.0089,0.0000,0.000000
1767366060.0,UNH,329.3355,0.3940,0.3940,0.7178,0.0000,0.000000
1767366060.0,AMZN,232.8150,-0.5335,-0.5335,0.0037,0.0000,0.000000
1767366060.0,AMD,225.8750,-0.5430,-0.5430,0.0122,0.0000,0.000000
1767366060.0,MSTR,153.3000,-0.5758,-0.5758,0.1913,0.0000,0.000000
1767366060.0,COIN,230.2250,2.1204,2.1204,0.9499,0.0000,0.000000
1767366060.0,NFLX,92.2550,-0.5516,-0.5516,0.0068,0.0000,0.000000
1767366060.0,CRWV,76.4800,-0.5453,-0.5453,0.0234,0.0000,0.000000
1767366060.0,AVGO,358.0000,-0.5601,-0.5601,0.0102,0.0000,0.000000
1767366060.0,MSFT,480.3850,-0.5675,-0.5675,0.0117,0.0000,0.000000
1767366060.0,HOOD,112.8900,-0.5720,-0.5720,0.0222,0.0000,0.000000
1767366060.0,MU,307.1100,0.3758,0.3758,0.9531,0.0000,0.000000
1767366060.0,APP,641.8600,2.1300,2.1300,0.7141,0.0000,0.000000
1767366060.0,GOOGL,319.7800,-0.5579,-0.5579,0.0200,0.0000,0.000000
1767366060.0,WMT,111.4600,0.4859,0.4859,0.0041,0.0000,0.000000
1767366060.0,SMCI,30.8000,-0.5552,-0.5552,0.0221,0.0000,0.000000
1767366060.0,ADBE,342.4800,2.1190,2.1190,0.9636,0.0000,0.000000
1767366060.0,CRM,259.9300,2.1108,2.1108,0.9672,0.0000,0.000000
1767366060.0,ORCL,196.6350,-0.5535,-0.5535,0.0187,0.0000,0.000000
1767366060.0,NKE,63.2700,-0.5652,-0.5652,0.0392,0.0000,0.000000
1767366060.0,XOM,120.0350,-0.5781,-0.5781,0.3244,0.0000,0.000000
1767366060.0,INTC,39.4950,-0.5659,-0.5659,0.0617,0.0000,0.000000
1767366060.0,DELL,126.9000,-0.5769,-0.5769,0.9698,0.0000,0.000000
1767366060.0,IWM,247.6700,-0.5671,-0.5671,0.0549,0.0000,0.000000
1767366060.0,GLD,400.3008,-0.5386,-0.5386,0.0031,0.0000,0.000000
1767366120.0,NVDA,192.1001,-0.5922,-0.5922,0.0145,0.2868,0.000000
1767366120.0,AAPL,277.3368,-0.5986,-0.5986,0.0067,0.1110,0.000000
1767366120.0,META,662.8050,-0.5609,-0.5609,0.0011,0.2182,0.000000
1767366120.0,PLTR,177.7201,-0.5881,-0.5881,0.0040,0.3390,0.000000
1767366120.0,TSLA,453.3969,-0.5715,-0.5715,0.0058,0.2723,0.000000
1767366120.0,UNH,329.3500,-0.4928,-0.4928,0.2157,-0.1459,0.000000
1767366120.0,AMZN,232.9400,-0.5780,-0.5780,0.0015,0.0855,0.000000
1767366120.0,AMD,226.4861,-0.5812,-0.5812,0.0069,0.1841,0.000000
1767366120.0,MSTR,154.0500,-0.6259,-0.6259,0.3556,0.7094,0.000000
1767366120.0,COIN,230.7700,2.1094,2.1094,0.9601,0.1563,0.000000
1767366120.0,NFLX,92.5099,-0.5843,-0.5843,0.0043,0.4637,0.000000
1767366120.0,CRWV,76.3550,-0.1018,-0.1018,0.0072,0.0901,0.000000
1767366120.0,AVGO,359.0200,0.6194,0.6194,0.0073,-0.0905,0.000000
1767366120.0,MSFT,480.8000,-0.5960,-0.5960,0.0043,-0.0292,0.000000
1767366120.0,HOOD,113.1300,-0.5757,-0.5757,0.0146,-0.2142,0.000000
1767366120.0,MU,307.7550,1.8229,1.8229,0.9502,0.3592,0.000000
1767366120.0,APP,644.3600,2.1165,2.1165,0.8075,0.4575,0.000000
1767366120.0,GOOGL,320.3500,0.7904,0.7904,0.0161,0.0585,0.000000
1767366120.0,WMT,111.3400,-0.5900,-0.5900,0.0023,0.0229,0.000000
1767366120.0,SMCI,30.8559,-0.5943,-0.5943,0.0091,-0.0181,0.000000
1767366120.0,ADBE,342.3950,2.0985,2.0985,0.9716,0.0286,0.000000
1767366120.0,CRM,259.9675,2.0932,2.0932,0.9648,0.0319,0.000000
1767366120.0,ORCL,197.1400,0.1917,0.1917,0.0118,0.5227,0.000000
1767366120.0,NKE,63.2700,-0.5948,-0.5948,0.0365,-0.5667,0.000000
1767366120.0,XOM,120.0300,-0.6240,-0.6240,0.7630,-0.0270,0.000000
1767366120.0,INTC,39.7100,-0.5890,-0.5890,0.0366,0.7630,0.000000
1767366120.0,DELL,126.9700,-0.6103,-0.6103,0.9676,-0.0296,0.000000
1767366120.0,IWM,247.7400,-0.6136,-0.6136,0.0285,-0.0219,0.000000
1767366120.0,GLD,400.3600,-0.5787,-0.5787,0.0023,0.0088,0.000000
1767366180.0,NVDA,192.1400,-0.4782,-0.4782,0.0031,0.2667,0.000000
1767366180.0,AAPL,277.6000,-0.5111,-0.5111,0.0021,0.1303,0.000000
1767366180.0,META,662.5300,-0.4859,-0.4859,0.0020,0.2191,0.000000
