name,total_ret,maxdd,n_trades,trade_exp,jul_ret,jul7_9,streaks3p,jul7,jul8,jul9
baseline_m5c,10.574788336130563,-0.37629084093270115,456,0.05144451246375974,1.5306496123516267,-0.14126453163048136,6,-0.02296747967479662,-0.06756497836602993,-0.05739051698001807
only_win_reenter,17.07324560166834,-0.27940671876982104,298,0.0868464376618435,1.3366032265597698,-0.060549112964472074,7,-0.02296747967479662,-0.0020338032116835603,-0.03650552104899929
max_entries_2,8.946388675189347,-0.2857075247344021,283,0.07385825371227378,0.9543227102468335,-0.08091293277015532,2,-0.02296747967479673,-0.0020338032116834492,-0.05739051698001796
max2_only_win,7.607598307214284,-0.24801914886228205,245,0.07929855789827363,1.0355871277059738,-0.060549112964472074,5,-0.02296747967479673,-0.0020338032116834492,-0.03650552104899918
circuit_3pct,7.2214587729226185,-0.38547118884038334,400,0.05065576474579125,1.6076201188544466,-0.11514582138717899,6,-0.02296747967479673,-0.048156182212581444,-0.048525850995504105
only_win_circuit3,16.214362411909192,-0.2638911280290033,278,0.0910425382586397,1.228613897926258,-0.1039671265244777,7,-0.022967479674796842,-0.04815618221258122,-0.03650552104899929
max2_win_c3,7.713251825421413,-0.20544699598908056,226,0.0856636108416632,0.9415096716803568,-0.1039671265244776,5,-0.022967479674796842,-0.04815618221258122,-0.03650552104899918
cooldown_30,4.7636506975925235,-0.406170444519236,364,0.04670706777815944,0.6064057644012126,-0.12148720858848105,5,-0.02296747967479662,-0.04609029923865726,-0.05739051698001796
single,8.673794183566716,-0.2649991240214691,168,0.11719389237469482,0.6094985486584514,-0.03482423894680231,3,-0.02296747967479673,0.025293388704951125,-0.03650552104899929
