streak_min,from_prev_abs,vol_z_min,is_baseline,scheme,moneyness,fill_frac,n_trades,n_days,total_ret,maxdd,day_win,trade_win,trade_exp,start_equity,end_equity,n_signals_topk
6,0.015,1.5,False,single,ATM,0.8,178,107,16.621018354839407,-0.23159402047183386,0.5887850467289719,0.5730337078651685,0.13975967028131078,100.0,1762.1018354839407,208
6,0.02,1.5,False,single,ATM,0.8,167,105,14.657365972992343,-0.2575263995735323,0.580952380952381,0.592814371257485,0.14232613026865507,100.0,1565.7365972992343,196
10,0.015,1.5,False,single,ATM,0.8,173,107,9.94675977303402,-0.2991241525328471,0.5420560747663551,0.5491329479768786,0.12134410391461968,100.0,1094.6759773034019,201
10,0.02,1.0,False,single,ATM,0.8,169,105,9.444379420509978,-0.20097022232686823,0.5619047619047619,0.5325443786982249,0.1209961585401262,100.0,1044.437942050998,199
8,0.015,1.5,False,single,ATM,0.8,176,107,8.932184232560305,-0.27593232019449,0.514018691588785,0.5340909090909091,0.11479814338847451,100.0,993.2184232560305,206
8,0.02,1.0,True,single,ATM,0.8,168,105,8.673794183566716,-0.2649991240214691,0.5333333333333333,0.5297619047619048,0.11719389237469482,100.0,967.3794183566716,200
10,0.025,1.0,False,single,ATM,0.8,149,99,8.516146966670282,-0.18889887992144083,0.5454545454545454,0.5704697986577181,0.13130277062142412,100.0,951.6146966670282,176
6,0.02,1.0,False,single,ATM,0.8,168,105,8.016912022767483,-0.30047128909627585,0.5333333333333333,0.5297619047619048,0.11395613534948776,100.0,901.6912022767484,201
10,0.025,1.5,False,single,ATM,0.8,138,94,7.163095965885468,-0.24662388538786495,0.6170212765957447,0.572463768115942,0.13220001397888015,100.0,816.3095965885468,163
8,0.02,1.5,False,single,ATM,0.8,165,105,7.133399538379599,-0.1872007970227061,0.5047619047619047,0.5515151515151515,0.11190527538004227,100.0,813.3399538379599,194
10,0.02,0.5,False,single,ATM,0.8,167,105,6.8652200632562845,-0.27682657077525885,0.5333333333333333,0.5209580838323353,0.10813065372629597,100.0,786.5220063256285,201
10,0.02,1.5,False,single,ATM,0.8,160,104,6.741842923731171,-0.20568166793370535,0.5576923076923077,0.55,0.11237013233571531,100.0,774.184292373117,187
6,0.025,1.5,False,single,ATM,0.8,145,98,6.5327040656877795,-0.28978815634313504,0.5612244897959183,0.5724137931034483,0.12189886248465402,100.0,753.270406568778,174
8,0.025,1.5,False,single,ATM,0.8,145,97,6.26698011968793,-0.3366738604067905,0.5670103092783505,0.5655172413793104,0.12018314108259215,100.0,726.698011968793,171
6,0.025,1.0,False,single,ATM,0.8,151,101,6.1363181016264505,-0.18434070416776038,0.5445544554455446,0.5695364238410596,0.11320416439184237,100.0,713.631810162645,182
6,0.025,0.5,False,single,ATM,0.8,152,101,5.9859138669250385,-0.29013437891382454,0.5346534653465347,0.5657894736842105,0.11134210690557682,100.0,698.5913866925039,183
8,0.02,0.5,False,single,ATM,0.8,170,105,5.935224001657399,-0.33845877051636186,0.49523809523809526,0.5,0.0999715065931896,100.0,693.5224001657399,201
6,0.02,0.5,False,single,ATM,0.8,170,105,5.403814146682291,-0.3902682786625129,0.4857142857142857,0.5117647058823529,0.09701197311322896,100.0,640.3814146682291,201
8,0.025,1.0,False,single,ATM,0.8,150,99,5.398283472093349,-0.26759538574656994,0.5252525252525253,0.5466666666666666,0.10864623536929136,100.0,639.8283472093349,180
6,0.015,1.0,False,single,ATM,0.8,179,107,4.955722231611824,-0.41438159676867814,0.48598130841121495,0.4860335195530726,0.08951790828777664,100.0,595.5722231611824,211
10,0.015,1.0,False,single,ATM,0.8,181,107,4.782199005427375,-0.3584084868701063,0.4766355140186916,0.4696132596685083,0.08807000057782705,100.0,578.2199005427375,209
10,0.025,0.5,False,single,ATM,0.8,151,101,4.575521521940694,-0.2836439649906559,0.5346534653465347,0.5364238410596026,0.10000546900255347,100.0,557.5521521940694,182
8,0.025,0.5,False,single,ATM,0.8,152,101,3.706942232333512,-0.369785073950068,0.5247524752475248,0.5460526315789473,0.09042928868327452,100.0,470.69422323335124,183
8,0.015,1.0,False,single,ATM,0.8,180,107,3.6538335563599142,-0.47289036633797565,0.48598130841121495,0.4722222222222222,0.07824252499975604,100.0,465.38335563599145,211
10,0.015,0.5,False,single,ATM,0.8,178,107,2.3988569040499095,-0.4841390472454862,0.4766355140186916,0.4606741573033708,0.06428744778237591,100.0,339.88569040499095,211
6,0.015,0.5,False,single,ATM,0.8,180,107,2.1453294604021402,-0.4962249992246075,0.48598130841121495,0.4888888888888889,0.06058914331807286,100.0,314.53294604021403,211
8,0.015,0.5,False,single,ATM,0.8,181,107,1.7596086859962692,-0.48701796517769436,0.48598130841121495,0.4530386740331492,0.0541396243098577,100.0,275.9608685996269,211
