arm,total_ret,maxdd,n_trades,trade_exp,trade_win,day_win,n_signal_atm,n_quote_1s,n_day_lock_fallback
day_lock_1s,14.713161337173776,-0.2243583480314143,261,0.09340177655766584,0.5210727969348659,0.41904761904761906,0,261,0
signal_atm_1s,2.7914348611567963,-0.1796299667985808,257,0.04558288093865802,0.5058365758754864,0.4,258,257,14
