mf_window,total_ret,maxdd,n_trades,trade_win,trade_exp,n_regime_block,may,jun,jul,is_baseline
6,17.87768643054777,-0.20866452483472397,245,0.5224489795918368,0.1055330216088373,368,0.606130162727835,1.2295060448155435,0.6099700053821031,False
8,10.648512363529646,-0.24257192688830254,260,0.5038461538461538,0.08487268007736885,487,0.200030155183053,0.8415917076136574,0.8193143967871945,False
10,14.713161337173776,-0.2243583480314143,261,0.5210727969348659,0.09340177655766584,521,0.44947069484108093,1.329278879047982,0.8169922472644267,True
12,10.042701979116481,-0.3272165939805953,257,0.49416342412451364,0.08454624833895147,598,0.6152457702615868,0.7431419215370878,0.724004752931912,False
15,2.7906534134674934,-0.42476050996632697,241,0.46887966804979253,0.053897296271931745,635,0.40530028108603333,0.598577492529254,0.18742158349181248,False
