name,mf_window,delay_seconds,gap_mode,vol_z_min,n_trades,total_ret,maxdd,trade_win,trade_exp,end_equity,n_regime_block
dirty_mf10_delay60,10,60,none,1.0,207,0.4982441530648163,-0.5170941985640778,0.3671497584541063,0.02232255972201836,149.82441530648163,478
clean_skip_mf10_delay60,10,60,skip_gap_open,1.0,206,0.5857038971361923,-0.5087442423432837,0.36893203883495146,0.02361856606908168,158.57038971361922,481
clean_openfb_mf10_delay60,10,60,open_fallback,1.0,210,0.7227790222084809,-0.5378338584333353,0.36666666666666664,0.025422989655264985,172.2779022208481,476
clean_skip_mf6_delay60,6,60,skip_gap_open,1.0,206,0.42181508874720075,-0.29749360062691654,0.3592233009708738,0.0158407327482998,142.18150887472007,371
clean_skip_mf8_delay60,8,60,skip_gap_open,1.0,212,0.4973333082159632,-0.32092373518771955,0.37735849056603776,0.018988424881006025,149.73333082159633,447
clean_skip_mf10_delay60,10,60,skip_gap_open,1.0,206,0.5857038971361923,-0.5087442423432837,0.36893203883495146,0.02361856606908168,158.57038971361922,481
clean_skip_mf10_delay60_volz15,10,60,skip_gap_open,1.5,170,-0.11220171465402884,-0.4990397527674273,0.38235294117647056,0.003736622522008432,88.77982853459712,156
clean_skip_mf10_delay60_volz20,10,60,skip_gap_open,2.0,130,0.6713812415167753,-0.3417187008172552,0.4,0.025360804322577226,167.13812415167752,67
clean_skip_mf10_delay60_share08,10,60,skip_gap_open,1.0,206,0.5857038971361923,-0.5087442423432837,0.36893203883495146,0.02361856606908168,158.57038971361922,475
clean_skip_mf10_delay60_intensity15,10,60,skip_gap_open,1.0,178,0.007643739474106459,-0.47662255947152954,0.33707865168539325,0.012245358158312323,100.76437394741065,234
clean_skip_mf10_delay60_clv_extreme,10,60,skip_gap_open,1.0,193,0.6014745973145432,-0.4960530371335695,0.3471502590673575,0.024816030031504784,160.14745973145432,404
clean_skip_mf10_delay60_combo_volz15_share08,10,60,skip_gap_open,1.5,170,-0.11220171465402884,-0.4990397527674273,0.38235294117647056,0.003736622522008432,88.77982853459712,156
clean_skip_mf10_delay60_combo_volz15_intensity15,10,60,skip_gap_open,1.5,157,-0.0360625531110188,-0.36079578609783625,0.3885350318471338,0.010290411689446768,96.39374468889812,101
clean_skip_mf10_delay60_combo_all,10,60,skip_gap_open,1.5,156,-0.04489545236760417,-0.36079578609783636,0.38461538461538464,0.010205954687641175,95.51045476323958,100
clean_skip_mf10_delay5,10,5,skip_gap_open,1.0,238,17.18281826270585,-0.30837341449188327,0.49159663865546216,0.07892181277941356,1818.281826270585,535
clean_skip_mf10_delay5_bestq,10,5,skip_gap_open,2.0,148,14.234642161605823,-0.18771281323993694,0.5540540540540541,0.10310011539114469,1523.4642161605823,69
clean_skip_mf10_delay15,10,15,skip_gap_open,1.0,231,9.657360392907474,-0.313715856362075,0.45454545454545453,0.0706154228769542,1065.7360392907474,525
clean_skip_mf10_delay15_bestq,10,15,skip_gap_open,2.0,146,8.50331724515834,-0.21941917198627536,0.5136986301369864,0.0876383278778081,950.331724515834,77
clean_skip_mf10_delay30,10,30,skip_gap_open,1.0,223,3.5613222335359644,-0.4584275017345517,0.4304932735426009,0.05150793300663597,456.1322233535965,524
clean_skip_mf10_delay30_bestq,10,30,skip_gap_open,2.0,140,3.8818644577758628,-0.3683754496704056,0.4714285714285714,0.06543239836035049,488.18644577758624,75
clean_skip_mf10_delay60,10,60,skip_gap_open,1.0,206,0.5857038971361923,-0.5087442423432837,0.36893203883495146,0.02361856606908168,158.57038971361922,481
clean_skip_mf10_delay60_bestq,10,60,skip_gap_open,2.0,130,0.6713812415167753,-0.3417187008172552,0.4,0.025360804322577226,167.13812415167752,67
