name,exit_mode,hold_minutes,hold_extend_minutes,hold_extend_mtm_min,hold_extend_require_mf,total_ret,maxdd,n_trades,trade_win,trade_exp,n_t45_exits,uplift_vs_baseline_pp
baseline_t30_rails,none,30,,,,12.992109088247298,-0.3216637273855588,124,0.5564516129032258,0.13716680859334918,0,0.0
t45_rails,none,45,,,,13.901724611842093,-0.3566944486426086,124,0.5564516129032258,0.13951427008557082,68,0.9096155235947947
extend_mtm_mf,hold_extend,30,45.0,0.0,True,14.82634683050312,-0.3216637273855587,124,0.5,0.1459976302041163,20,1.8342377422558211
extend_mtm_only,hold_extend,30,45.0,0.0,False,15.498093039266386,-0.3216637273855588,124,0.49193548387096775,0.14841395660653509,25,2.505983951019088
extend_mtm5_mf,hold_extend,30,45.0,0.05,True,14.141411694143859,-0.3216637273855588,124,0.5080645161290323,0.1438297253653397,18,1.14930260589656
