date,equity,day_ret,n,day_halt
2026-05-01,98.99795782415445,-0.010020421758455411,2,False
2026-05-04,111.74714132254186,0.12878228782287815,1,False
2026-05-05,125.54188112375424,0.12344601962922575,1,False
2026-05-06,110.36416702436067,-0.12089761570827484,1,False
2026-05-07,109.99831895687659,-0.0033149171270718814,1,False
2026-05-08,123.67378563800179,0.12432432432432439,1,False
2026-05-11,115.14419976884058,-0.06896842225019018,2,False
2026-05-12,119.795185678157,0.04039270687237018,1,False
2026-05-13,135.22787507868824,0.12882562277580067,1,False
2026-05-14,134.2532597628058,-0.007207207207207134,1,False
2026-05-15,134.2532597628058,0.0,1,False
2026-05-18,150.4933866124567,0.12096635030198444,1,False
2026-05-19,149.90831513102597,-0.0038876889848813434,1,False
2026-05-20,149.21770328991587,-0.004606894824389696,2,False
2026-05-21,132.71045291067338,-0.11062528115159675,2,False
2026-05-22,149.00214657022994,0.12276119402985075,1,False
2026-05-26,149.00214657022994,0.0,0,False
2026-05-27,146.49941105495313,-0.016796640671865704,1,False
2026-05-28,144.88868454597196,-0.01099476439790581,1,False
2026-05-29,162.91781950078746,0.1244343891402715,1,False
2026-06-01,162.91781950078746,0.0,0,False
2026-06-02,160.33182236585432,-0.015873015873015928,1,False
2026-06-03,160.33182236585432,0.0,0,False
2026-06-04,160.33182236585432,0.0,0,False
2026-06-05,190.97063055402876,0.1910962386385222,2,False
2026-06-08,181.862800481452,-0.04769230769230759,1,False
2026-06-09,203.91103189117243,0.12123552123552117,1,False
2026-06-10,242.6927076090917,0.19018919848641191,2,False
2026-06-11,242.6927076090917,0.0,0,False
2026-06-12,213.1289692883356,-0.12181551976573934,1,False
2026-06-15,238.84250485429675,0.12064777327935228,1,False
2026-06-16,220.41743812312436,-0.07714316487516493,2,False
2026-06-17,220.41743812312436,0.0,0,False
2026-06-18,193.7623060710256,-0.1209302325581395,1,False
2026-06-22,231.4456964844835,0.19448256566292454,2,False
2026-06-23,249.03341141547222,0.07599067599067588,1,False
2026-06-24,262.8163569035068,0.055345768303514786,2,False
2026-06-25,262.8163569035068,0.0,0,False
2026-06-26,295.4055851595416,0.12399999999999989,1,False
2026-06-29,309.13536701230095,0.04647773279352263,2,False
2026-06-30,334.9990503768085,0.08366458879963212,2,False
2026-07-01,334.9990503768085,0.0,0,False
2026-07-02,393.1598886855505,0.17361493485824053,2,False
2026-07-06,440.61523199639424,0.12070240295748613,1,False
2026-07-07,409.06760202051873,-0.0715990453460621,1,False
2026-07-08,406.2014077358517,-0.007006651884700621,2,False
2026-07-09,392.91285359422346,-0.03271420011983228,1,False
2026-07-10,392.91285359422346,0.0,0,False
2026-07-13,440.3413874008635,0.12071005917159772,1,False
