name,peer_align_min,peer_align_mode,peer_symbols,total_ret,maxdd,n_trades,trade_win,trade_exp,end_equity,n_peer_block,streak_trade_mean_ret,streak_days_compound
baseline,,,,3.0393900142146206,-0.2696211099936049,64,0.59375,0.14981544540554323,403.939001421462,0,-0.09292275581495978,-0.411850795659475
peer_mf10_min3_all,3.0,mf10,,3.483142929966701,-0.19657474858043877,55,0.6363636363636364,0.17460699365254964,448.3142929966701,9,-0.03283115706473384,-0.2523363945050291
peer_mf10_min4_all,4.0,mf10,,2.7579751361846694,-0.16542448828556222,51,0.6274509803921569,0.16477714726715753,375.79751361846695,13,-0.009217637744111678,-0.14710655382784243
peer_mf10_min3_mag7,3.0,mf10,"['NVDA', 'TSLA', 'AAPL', 'AMZN', 'META', 'MSFT', 'AMD']",3.748142013653913,-0.16542448828556222,53,0.6415094339622641,0.18196538298915746,474.81420136539134,11,-0.009217637744111678,-0.1471065538278422
peer_mf10_min4_mag7,4.0,mf10,"['NVDA', 'TSLA', 'AAPL', 'AMZN', 'META', 'MSFT', 'AMD']",2.1551789962531287,-0.16542448828556233,48,0.6041666666666666,0.15598128455289126,315.51789962531285,17,-0.012689117740577563,-0.153188624480743
peer_streak_min3_all,3.0,streak,,1.4465066805681053,-0.224453907473792,37,0.5945945945945946,0.14890542136439847,244.65066805681053,28,0.05665522303041416,-0.016012973933906105
peer_mf_fp_min3_all,3.0,mf_fp,,1.989817993447018,-0.16542448828556244,42,0.6190476190476191,0.15988898812571872,298.9817993447018,22,-0.021744360629458535,-0.11017330391556412
