date,max_chg_open,avg_vol_1m,max_vol_spike_5m,num_reversals,alpha_corr_15m,alpha_std
20260102,0.016231195566112435,0.0009756227667311563,0.013433918121623867,33,0.07381480647273811,1.0155450581015535
20260105,0.022613568140884582,0.0005518094053878865,0.00987266346271476,14,-0.0006991411945006714,1.0409735819741153
20260106,0.0,0.0004197329475403327,0.007471322821631432,1,0.006357734535431445,1.0424270671260105
20260107,0.016509062253743125,0.0005725348630450188,0.010728526069371802,9,0.03869427944145463,1.0309988141937538
20260108,0.0,0.0006064372204238094,0.008297458928483659,9,0.07612636215148032,1.0265081330459411
20260109,0.009865824782951855,0.000582974547827881,0.017024814155849,9,0.09864744737586814,1.0298761686430853
20260302,0.0,0.001423666438218122,0.023575623065064888,61,-0.019412596223343,1.0150612342334506
20260303,0.07221764220939823,0.0023444945637958216,0.03576138081250446,94,-0.032173631227234274,1.0433298064438572
20260304,0.010973936899862835,0.0012007463111695998,0.02398735703560373,41,0.01688605466105194,1.0109284089969557
20260305,0.07986348122866893,0.0020205085546874434,0.03200844592669494,86,0.06030381942597753,1.0518306549613992
20260306,0.04131797743660267,0.002111070103137499,0.031228027507408496,92,-0.0332847081245914,1.0081912990033484
20260309,0.04058721934369593,0.002323190744249132,0.03632980760210758,90,0.05521260952102141,1.061184767885913
20260310,0.055860510171133484,0.001985928857206625,0.05358116976744964,81,-0.01560502448273725,1.0076277754843286
