date,equity,day_ret,n
2026-01-02,110.7680588152069,0.10768058815206905,2
2026-01-05,110.7680588152069,0.0,0
2026-01-06,110.7680588152069,0.0,0
2026-01-07,110.75524285215164,-0.00011570089060275457,2
2026-01-08,115.37925366393719,0.04174981420932089,2
2026-01-09,116.44586252015526,0.009244372990353744,1
2026-01-12,116.44586252015526,0.0,0
2026-01-13,116.44586252015526,0.0,0
2026-01-14,115.61563462826861,-0.007129732855411186,2
2026-01-15,114.1973360830674,-0.01226735942557744,2
2026-01-16,113.03277734056392,-0.010197775030902356,1
2026-01-20,113.03277734056392,0.0,0
2026-01-21,121.11760761200674,0.07152642323459402,2
2026-01-22,119.46432439631039,-0.013650230121722284,2
2026-01-23,138.7453573854211,0.16139573957785003,2
2026-01-26,138.7453573854211,0.0,0
2026-01-27,138.7453573854211,0.0,0
2026-01-29,160.53415097364282,0.15704160484227647,2
2026-01-30,185.72122165338203,0.15689540528902501,2
2026-02-02,186.81573257503658,0.005893300248138944,1
2026-02-03,181.77885743465998,-0.026961728923732275,2
2026-02-04,201.3885306794393,0.10787653482654314,2
2026-02-05,195.41061107190365,-0.02968351567672456,2
2026-02-06,179.3495996406356,-0.08219109158487925,2
2026-02-09,179.21824007058632,-0.000732421875,1
2026-02-10,176.42326390626442,-0.015595377809876187,2
2026-02-11,169.95194768786095,-0.036680628592393294,2
2026-02-12,193.88467241596206,0.14082053812090867,2
2026-02-13,208.96835759517586,0.0777972027972027,1
2026-02-17,209.96494363792394,0.004769076305220832,1
2026-02-18,207.80505828352545,-0.010286885596117012,2
2026-02-20,214.59558202355205,0.03267737463234277,2
2026-02-23,249.75507625465846,0.16384071796616784,2
2026-02-24,248.12514854817726,-0.006526104417670653,1
2026-02-25,239.5356402073679,-0.03461764513217647,2
2026-02-26,242.31930088328318,0.01162107097509768,2
2026-02-27,243.70499115767467,0.005718447805604043,2
2026-03-02,245.4125653670194,0.007006726457399193,1
2026-03-03,242.00532523760782,-0.013883723208369503,2
2026-03-04,245.13068825679267,0.012914439036067815,2
2026-03-05,257.49503934560613,0.0504398334486007,2
2026-03-06,253.0485452392593,-0.017268270944741593,1
2026-03-09,253.0485452392593,0.0,0
2026-03-11,234.00788264405034,-0.07524509803921564,1
2026-03-12,228.73935820357283,-0.022514303283071246,2
2026-03-13,238.83255591612883,0.04412532146554882,2
2026-03-16,232.64931153647046,-0.02588945362134687,1
2026-03-18,224.97401118464583,-0.03299085778992916,2
2026-04-01,240.06037966653523,0.06705827220863902,2
2026-04-02,212.83737536755996,-0.11340065502183405,2
2026-04-06,194.51338600910563,-0.0860938513586238,2
2026-04-07,203.48055498998747,0.0461005237987171,2
2026-04-08,204.72020506651808,0.006092228697683666,2
2026-04-09,225.27705785450732,0.10041438157660054,2
2026-04-10,259.3684500726517,0.15133095461572443,2
2026-04-13,279.1653782308519,0.07632743362831862,1
2026-05-01,277.09357264310574,-0.007421427402193537,2
2026-05-04,285.469197005114,0.030226700251889227,1
2026-05-05,307.7111388633428,0.07791363163371479,1
2026-05-06,287.1536499900684,-0.06680775011659279,2
2026-05-07,283.51799731335046,-0.01266100109416568,2
2026-05-08,299.7319488488943,0.05718843843843824,2
2026-05-11,312.9807541970539,0.04420217931068393,2
2026-05-12,329.0933833419528,0.05148121387283244,1
2026-05-13,382.6136387146845,0.16262938752894995,2
2026-05-14,379.16033670392096,-0.009025559105431347,1
2026-05-15,407.57168971111395,0.07493229184828709,2
2026-05-18,439.1014926301993,0.07736013986014001,1
2026-05-19,450.6212879950692,0.02623492645371539,2
2026-05-20,447.39841828504905,-0.007152058271280404,2
2026-05-21,420.77624609073524,-0.05950439497833038,2
2026-05-22,421.65323418760477,0.002084214841064025,2
2026-05-26,421.65323418760477,0.0,0
2026-05-27,415.07195993916537,-0.015608262227893244,2
2026-05-28,428.2488005329233,0.03174591845637842,2
2026-05-29,447.5681193805754,0.045112371181450284,2
2026-06-01,444.42699011220515,-0.00701821495399968,2
2026-06-02,444.2772202544374,-0.000336995414544794,2
2026-06-03,464.0698100518788,0.044550089212555655,2
2026-06-04,450.24127456974077,-0.029798394945346973,2
2026-06-05,450.9480897574483,0.0015698587127157548,2
2026-06-08,436.4201229482522,-0.03221649484536082,1
2026-06-09,469.46913358156894,0.07572751322751325,1
2026-06-10,544.8530400291,0.16057265761527084,2
2026-06-11,516.8221910384209,-0.05144662309158088,2
2026-06-12,459.54156937709183,-0.11083235715215412,2
2026-06-15,496.02544397290825,0.07939189189189189,1
2026-06-16,483.5007457811663,-0.02525011235598229,2
2026-06-17,473.3386049166805,-0.021017839068825817,2
2026-06-18,445.6918222617281,-0.05840804525085996,2
2026-06-22,480.049221836508,0.07708779443254832,1
2026-06-23,481.7588123871402,0.003561281787088033,2
2026-06-24,501.5962265534503,0.041177065486388775,2
2026-06-25,526.1002286242743,0.04885204627473971,2
2026-06-26,545.7078167095174,0.03726968174204348,1
2026-06-29,547.2199976409697,0.0027710450265683306,2
2026-06-30,601.0439830237817,0.09835895181982335,2
