name,scheme,hold_minutes,exit_mode,tp_mult,sl_mult,vol_z_min,reentry_mode,total_ret,maxdd,n_trades,trade_win,trade_exp,end_equity
prod_m5c_mf_flip,m5_circuit,30,mf_flip,1.6,0.4,1.0,only_win,0.29667400432799274,-0.33489621070264375,98,0.3469387755102041,0.023215633920220954,129.66740043279927
single_mf_flip,single,30,mf_flip,1.6,0.4,1.0,only_win,0.8179046429628025,-0.17456051238768866,64,0.34375,0.05993853031711646,181.79046429628025
single_t30_rails,single,30,none,1.6,0.4,1.0,only_win,2.527895180091548,-0.25081956118897,64,0.578125,0.13546841808887014,352.7895180091548
single_t60_rails,single,60,none,1.6,0.4,1.0,only_win,2.188748088135574,-0.35180835625889983,64,0.5625,0.12771130997983599,318.87480881355737
single_t30_norails,single,30,none,999.0,0.0,1.0,only_win,1.8550323178610366,-0.3761983293858816,64,0.5625,0.119514183186127,285.50323178610364
single_t60_norails,single,60,none,999.0,0.0,1.0,only_win,3.642292286948604,-0.39996767026443314,64,0.53125,0.1562999317922924,464.2292286948604
m5c_onlywin_t30_rails,m5_circuit,30,none,1.6,0.4,1.0,only_win,1.6070430354899798,-0.31793232369975055,115,0.5304347826086957,0.065558806905968,260.704303548998
m5c_onlywin_t30_norails,m5_circuit,30,none,999.0,0.0,1.0,only_win,1.0783307990186883,-0.46743314419660487,110,0.509090909090909,0.05276956942867405,207.8330799018688
m5c_allreenter_t30_norails,m5_circuit,30,none,999.0,0.0,1.0,always,0.26731136345181805,-0.6345142727240989,152,0.46710526315789475,0.022078945748975135,126.7311363451818
single_t30_norails_volz20,single,30,none,999.0,0.0,2.0,only_win,-0.30521983968519717,-0.47595570350391314,56,0.42857142857142855,-0.02036697226924236,69.47801603148028
