date,symbol,entry_time,exit_time,pnl,roi,qty,entry_price,exit_price,reason,duration,entry_ts,exit_ts,contract,opt_dir,entry_stock,exit_stock,liq_chunks,liq_reason
2026-03-18,UNH,2026-03-18 10:04:00,2026-03-18 10:08:00,0.0,0.0,24,5.0,5.0,FLIP,4.0,1773842640.0,1773842880.0,UNH   260327P00285000,PUT,286.8999938964844,287.1700134277344,1,"L2 Depth(Ask:516手) Pass (Alloc < Cap $255,420)"
2026-03-18,GLD,2026-03-18 10:08:00,2026-03-18 10:11:00,0.0,0.0,12,8.0,8.0,STOCK_STOP:-0.21%(Th:0.15%),3.0,1773842880.0,1773843060.0,GLD   260327C00447000,CALL,449.44000244140625,448.4800109863281,1,"L2 Depth(Ask:553手) Pass (Alloc < Cap $532,262)"
2026-03-18,CRWV,2026-03-18 10:08:00,2026-03-18 10:11:00,0.0,0.0,12,6.449999809265137,6.449999809265137,FLIP,3.0,1773842880.0,1773843060.0,CRWV  260327C00081000,CALL,84.3499984741211,84.19999694824219,1,"L2 Depth(Ask:303手) Pass (Alloc < Cap $199,980)"
2026-03-18,AAPL,2026-03-18 10:08:00,2026-03-18 10:13:00,-671.9993591308594,-0.05490190945236186,24,5.099999904632568,4.820000171661377,STOCK_STOP:-0.28%(Th:0.25%),5.0,1773842880.0,1773843180.0,AAPL  260327C00252500,CALL,253.80999755859375,253.10000610351562,1,"L2 Depth(Ask:412手) Pass (Alloc < Cap $210,120)"
2026-03-18,AMZN,2026-03-18 10:07:00,2026-03-18 10:13:00,124.9992847442627,0.010752626424140798,25,4.650000095367432,4.699999809265137,STOCK_STOP:-0.26%(Th:0.25%),6.0,1773842820.0,1773843180.0,AMZN  260327C00212500,CALL,213.4199981689453,212.86000061035156,4,"L2 Depth(Ask:8手) Cap: $3,940 | Iceberg Split: 4 chunks"
2026-03-18,MSFT,2026-03-18 10:11:00,2026-03-18 10:14:00,1565.9997940063477,0.14192493789837876,18,6.130000114440918,7.0,FLIP,3.0,1773843060.0,1773843240.0,MSFT  260327P00397500,PUT,397.1099853515625,396.3699951171875,19,L2 Depth(Ask:1手) Cap: $648 | Iceberg Split: 19 chunks
2026-03-18,TSLA,2026-03-18 10:11:00,2026-03-18 10:15:00,503.9997100830078,0.08025473187992961,8,7.849999904632568,8.479999542236328,MACD_FADE(2.7%),4.0,1773843060.0,1773843300.0,TSLA  260327P00397500,PUT,400.7200012207031,400.1700134277344,1,"L2 Depth(Ask:33手) Pass (Alloc < Cap $27,060)"
2026-03-18,META,2026-03-18 10:45:00,2026-03-18 10:48:00,0.0,0.0,8,13.75,13.75,FLIP,3.0,1773845100.0,1773845280.0,META  260327C00617500,CALL,618.4299926757812,617.97998046875,1,"L2 Depth(Ask:147手) Pass (Alloc < Cap $202,125)"
2026-03-18,GLD,2026-03-18 10:45:00,2026-03-18 10:48:00,0.0,0.0,14,8.25,8.25,FLIP,3.0,1773845100.0,1773845280.0,GLD   260327C00447000,CALL,447.0299987792969,447.1600036621094,1,"L2 Depth(Ask:251手) Pass (Alloc < Cap $207,075)"
2026-03-18,TSLA,2026-03-18 10:45:00,2026-03-18 10:51:00,-69.99959945678711,-0.009425017062321675,7,10.609999656677246,10.510000228881836,FLIP,6.0,1773845100.0,1773845460.0,TSLA  260327C00397500,CALL,398.5,398.1300048828125,1,"L2 Depth(Ask:39手) Pass (Alloc < Cap $41,535)"
2026-03-18,AVGO,2026-03-18 10:55:00,2026-03-18 10:58:00,60.00022888183594,0.005747148486326996,12,8.699999809265137,8.75,FLIP,3.0,1773845700.0,1773845880.0,AVGO  260327C00320000,CALL,318.8999938964844,319.0,1,"L2 Depth(Ask:120手) Pass (Alloc < Cap $105,600)"
2026-03-18,HOOD,2026-03-18 10:54:00,2026-03-18 10:59:00,189.99981880187988,0.016949136104436064,38,2.950000047683716,3.0,FLIP,5.0,1773845640.0,1773845940.0,HOOD  260327C00076000,CALL,75.51000213623047,75.58000183105469,1,"L2 Depth(Ask:550手) Pass (Alloc < Cap $162,250)"
2026-03-18,NVDA,2026-03-18 10:56:00,2026-03-18 10:59:00,287.9997253417969,0.03603600120498037,18,4.440000057220459,4.599999904632568,FLIP,3.0,1773845760.0,1773845940.0,NVDA  260327C00182500,CALL,182.52999877929688,182.75999450683594,1,"L2 Depth(Ask:287手) Pass (Alloc < Cap $125,562)"
2026-03-18,DELL,2026-03-18 10:43:00,2026-03-18 11:03:00,25.99935531616211,0.0022521963774337892,26,4.440000057220459,4.449999809265137,ZOMBIE_STOP:20m,20.0,1773844980.0,1773846180.0,DELL  260327C00152500,CALL,151.58999633789062,151.8000030517578,1,"L2 Depth(Ask:362手) Pass (Alloc < Cap $159,280)"
2026-03-18,IWM,2026-03-18 11:00:00,2026-03-18 11:06:00,-146.99935913085938,-0.013409903762016959,21,5.21999979019165,5.150000095367432,FLIP,6.0,1773846000.0,1773846360.0,IWM   260327C00248000,CALL,248.5500030517578,248.50999450683594,1,"L2 Depth(Ask:284手) Pass (Alloc < Cap $148,816)"
2026-03-18,AAPL,2026-03-18 11:00:00,2026-03-18 11:06:00,0.0,0.0,25,4.300000190734863,4.300000190734863,FLIP,6.0,1773846000.0,1773846360.0,AAPL  260327C00252500,CALL,252.67999267578125,252.4499969482422,1,"L2 Depth(Ask:427手) Pass (Alloc < Cap $187,880)"
