date_lock,symbol_lock,dir_lock,moneyness_lock,ticker_lock,day_lock_ticker_lock,contract_source_lock,quote_source_lock,sig_spot_lock,sig_strike_lock,sig_dte_lock,sig_ts_lock,n_in_day_lock,entry_lock,exit_lock,ret_lock,reason_lock,entry_ts_lock,exit_ts_lock,regime_qqq_fp_lock,regime_vix_rev_lock,regime_vixy_z_lock,k,date_sig,symbol_sig,dir_sig,moneyness_sig,ticker_sig,day_lock_ticker_sig,contract_source_sig,quote_source_sig,sig_spot_sig,sig_strike_sig,sig_dte_sig,sig_ts_sig,n_in_day_sig,entry_sig,exit_sig,ret_sig,reason_sig,entry_ts_sig,exit_ts_sig,regime_qqq_fp_sig,regime_vix_rev_sig,regime_vixy_z_sig,same_ticker
2026-05-01,TSLA,UP,ATM,TSLA260501C00392500,TSLA260501C00392500,day_lock,day_iv,,,,2026-05-01 10:56:00-04:00,1,3.45058,3.4094200000000003,-0.011928429423459175,T+30,2026-05-01 14:19:00-04:00,2026-05-01 14:19:00-04:00,0.007202911112439647,3.0,0.3326405730698789,2026-05-01|TSLA|UP|1,2026-05-01,TSLA,UP,ATM,TSLA260504C00390000,TSLA260501C00392500,signal_atm,day_iv,390.18,390.0,1,2026-05-01 10:56:00-04:00,1,4.577299999999999,5.7155,0.24866187490441982,T+30,2026-05-01 10:56:00-04:00,2026-05-01 11:26:00-04:00,0.007202911112439647,3.0,0.3326405730698789,False
2026-05-01,AAPL,UP,ATM,AAPL260501C00280000,AAPL260501C00280000,day_lock,day_iv,,,,2026-05-01 11:42:00-04:00,1,2.13272,2.1072800000000003,-0.011928429423459064,T+30,2026-05-01 13:44:00-04:00,2026-05-01 13:44:00-04:00,0.00932512403610497,2.0,0.9606358673075029,2026-05-01|AAPL|UP|1,2026-05-01,AAPL,UP,ATM,AAPL260504C00285000,AAPL260501C00280000,signal_atm,day_iv,284.79,285.0,1,2026-05-01 11:42:00-04:00,1,2.2333200000000004,1.7892000000000001,-0.1988608887217238,T+30,2026-05-01 11:42:00-04:00,2026-05-01 12:12:00-04:00,0.00932512403610497,2.0,0.9606358673075029,False
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,AMZN260504C00270000,day_lock,day_iv,,,,2026-05-04 10:38:00-04:00,1,1.4083999999999999,1.3916,-0.011928429423459175,T+30,2026-05-04 14:21:00-04:00,2026-05-04 14:21:00-04:00,0.002655156046042606,1.0,-0.32900857336631223,2026-05-04|AMZN|UP|1,2026-05-04,AMZN,UP,ATM,AMZN260506C00275000,AMZN260504C00270000,signal_atm,day_iv,274.545,275.0,2,2026-05-04 10:38:00-04:00,1,2.7664999999999997,2.7931399999999997,0.00962949575275629,T+30,2026-05-04 10:38:00-04:00,2026-05-04 11:08:00-04:00,0.002655156046042606,1.0,-0.32900857336631223,False
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,AAPL260506C00282500,day_lock,day_iv,,,,2026-05-05 13:04:00-04:00,1,1.8208600000000001,2.92236,0.6049339323176959,TP,2026-05-05 13:04:00-04:00,2026-05-05 13:19:00-04:00,0.012617405778147628,0.0,-0.9944012607241843,2026-05-05|AAPL|UP|1,2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,AAPL260506C00282500,signal_atm,day_iv,282.43,282.5,1,2026-05-05 13:04:00-04:00,1,1.8208600000000001,2.92236,0.6049339323176959,TP,2026-05-05 13:04:00-04:00,2026-05-05 13:19:00-04:00,0.012617405778147628,0.0,-0.9944012607241843,True
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,AAPL260506C00282500,day_lock,day_iv,,,,2026-05-05 13:53:00-04:00,2,2.03212,2.7335000000000003,0.3451469401413305,T+30,2026-05-05 13:53:00-04:00,2026-05-05 14:23:00-04:00,0.013850909523243526,0.0,-1.3706701149513183,2026-05-05|AAPL|UP|2,2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,AAPL260506C00282500,signal_atm,day_iv,282.8501,282.5,1,2026-05-05 13:53:00-04:00,2,2.03212,2.7335000000000003,0.3451469401413305,T+30,2026-05-05 13:53:00-04:00,2026-05-05 14:23:00-04:00,0.013850909523243526,0.0,-1.3706701149513183,True
2026-05-06,NVDA,UP,ATM,NVDA260506C00207500,NVDA260506C00207500,day_lock,day_iv,,,,2026-05-06 10:40:00-04:00,1,0.26156,0.25844,-0.011928429423459286,T+30,2026-05-06 15:14:00-04:00,2026-05-06 15:14:00-04:00,0.013689786216307454,3.0,-0.5024838253253331,2026-05-06|NVDA|UP|1,2026-05-06,NVDA,UP,ATM,NVDA260508C00205000,NVDA260506C00207500,signal_atm,day_iv,205.27,205.0,2,2026-05-06 10:40:00-04:00,1,3.1890199999999997,2.77326,-0.13037234009194043,T+30,2026-05-06 10:40:00-04:00,2026-05-06 11:10:00-04:00,0.013689786216307454,3.0,-0.5024838253253331,False
2026-05-06,AMD,UP,ATM,AMD260508C00420000,AMD260508C00420000,day_lock,day_iv,,,,2026-05-06 11:22:00-04:00,1,10.06,8.3496,-0.17001988071570573,T+30,2026-05-06 11:22:00-04:00,2026-05-06 11:52:00-04:00,0.015523894766187984,0.0,-2.388660645808589,2026-05-06|AMD|UP|1,2026-05-06,AMD,UP,ATM,AMD260508C00417500,AMD260508C00420000,signal_atm,day_iv,416.93,417.5,2,2026-05-06 11:22:00-04:00,1,11.065999999999999,9.3436,-0.15564793059822868,T+30,2026-05-06 11:22:00-04:00,2026-05-06 11:52:00-04:00,0.015523894766187984,0.0,-2.388660645808589,False
2026-05-07,TSLA,UP,ATM,TSLA260508C00415000,TSLA260508C00415000,day_lock,day_iv,,,,2026-05-07 10:36:00-04:00,1,4.14472,2.9521800000000002,-0.2877251056766199,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00,0.0055996837149121514,0.0,0.09742506267811303,2026-05-07|TSLA|UP|1,2026-05-07,TSLA,UP,ATM,TSLA260508C00412500,TSLA260508C00415000,signal_atm,day_iv,411.92,412.5,1,2026-05-07 10:36:00-04:00,1,5.1809,3.8467800000000003,-0.25750738288714314,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00,0.0055996837149121514,0.0,0.09742506267811303,False
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,MSFT260508C00425000,day_lock,day_iv,,,,2026-05-07 10:51:00-04:00,1,3.6115399999999998,3.7772,0.04586962902252245,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:00-04:00,0.006692304927577775,0.0,-0.06944474635289115,2026-05-07|MSFT|UP|1,2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,MSFT260508C00425000,signal_atm,day_iv,425.02,425.0,1,2026-05-07 10:51:00-04:00,1,3.6115399999999998,3.7772,0.04586962902252245,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:00-04:00,0.006692304927577775,0.0,-0.06944474635289115,True
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,MSFT260508C00425000,day_lock,day_iv,,,,2026-05-07 11:55:00-04:00,2,4.255380000000001,2.9720600000000004,-0.30157588746480923,T+30,2026-05-07 11:55:00-04:00,2026-05-07 12:25:00-04:00,0.0038026093519749615,0.0,1.0201473142332023,2026-05-07|MSFT|UP|2,2026-05-07,MSFT,UP,ATM,MSFT260508C00427500,MSFT260508C00425000,signal_atm,day_iv,426.36,427.5,1,2026-05-07 11:55:00-04:00,2,2.9375199999999997,2.00788,-0.31647103679294086,T+30,2026-05-07 11:55:00-04:00,2026-05-07 12:25:00-04:00,0.0038026093519749615,0.0,1.0201473142332023,False
