date,equity,day_ret,n,day_halt
2026-05-01,101.01429429217934,0.010142942921793408,3,False
2026-05-04,104.06762308690517,0.030226700251889227,1,False
2026-05-05,116.49981071939746,0.1194625884950824,2,False
2026-05-06,110.57488162031045,-0.05085784313725494,1,False
2026-05-07,105.4253183239482,-0.0465708235080432,3,False
2026-05-08,110.60195715956009,0.049102425469612854,3,False
2026-05-11,115.35425024944175,0.042967531605482945,4,False
2026-05-12,120.717836130948,0.04649664724020175,2,False
2026-05-13,139.9913734231887,0.1596577432959767,5,False
2026-05-14,138.7278730081072,-0.009025559105431347,1,False
2026-05-15,138.5327564497273,-0.0014064697609001975,1,False
