date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,open_lock,1s,226.42,232.5,0,2026-01-02 10:52:00-05:00,1,5.89,7.04,0.19524617996604432,T+30,2026-01-02 10:52:00-05:00,2026-01-02 11:22:08-05:00,stream
2026-01-08,AMD,DN,ATM,AMD260109P00210000,open_lock,day_iv,205.645,210.0,1,2026-01-08 10:40:00-05:00,1,5.27144,6.15286,0.1672066835627457,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00,stream
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,open_lock,day_iv,185.18,190.0,1,2026-01-08 11:00:00-05:00,1,4.9797,5.3676,0.07789625881077167,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:31:00-05:00,stream
2026-01-08,AMD,DN,ATM,AMD260109P00210000,open_lock,day_iv,204.1579,210.0,1,2026-01-08 11:15:00-05:00,2,6.3881,5.8646,-0.08194924938557624,T+30,2026-01-08 11:15:00-05:00,2026-01-08 11:45:00-05:00,stream
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,open_lock,day_iv,184.7,190.0,1,2026-01-08 12:00:00-05:00,2,5.55312,5.75526,0.03640115826778456,T+30,2026-01-08 12:01:00-05:00,2026-01-08 12:30:00-05:00,stream
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,open_lock,day_iv,184.11,190.0,1,2026-01-08 12:39:00-05:00,3,6.1366,5.62604,-0.0831991656617671,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:10:00-05:00,stream
2026-01-14,TSLA,DN,ATM,TSLA260116P00442500,open_lock,day_iv,437.515,442.5,2,2026-01-14 10:43:00-05:00,1,8.671719999999999,8.77702,0.012142919743718839,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00,stream
2026-01-14,META,DN,ATM,META260116P00627500,open_lock,day_iv,618.2599,627.5,2,2026-01-14 10:50:00-05:00,1,11.870800000000001,9.979759999999999,-0.15930181622131634,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:20:00-05:00,stream
2026-01-14,TSLA,DN,ATM,TSLA260116P00442500,open_lock,day_iv,436.1199,442.5,2,2026-01-14 11:45:00-05:00,2,9.506699999999999,9.443,-0.006700537515646698,T+30,2026-01-14 11:45:00-05:00,2026-01-14 12:15:00-05:00,stream
2026-01-15,NVDA,UP,ATM,NVDA260116C00187000,open_lock,day_iv,187.985,187.0,1,2026-01-15 10:38:00-05:00,1,2.15284,2.1370999999999998,-0.0073112725516062405,T+30,2026-01-15 10:38:00-05:00,2026-01-15 11:08:00-05:00,stream
