date,day_ret,equity,n_trades
2026-05-01,0.02868845715617,102.868845715617,2
2026-05-04,0.1287822878228781,116.11653101257284,1
2026-05-05,0.1234460196292257,130.4506545792285,1
2026-05-06,-0.1016121491803525,117.1952832054493,2
2026-05-07,-0.0505221681121452,111.27432340539312,2
2026-05-08,-1.3183915622883012e-05,111.27285637410236,2
2026-05-11,-0.06896842225019,103.5985430307085,2
2026-05-12,0.0673211781206171,110.57291899911525,1
2026-05-13,0.2676456022757374,140.16727450001977,2
2026-05-14,-0.019219219219219,137.47336892404343,1
2026-05-15,0.0204545454545455,140.2853241974898,1
2026-05-18,0.1209663503019844,157.25512786659078,1
2026-05-19,0.057301043702264,166.26601082087942,2
2026-05-20,-0.0191849591227244,163.07620419978238,2
2026-05-21,-0.116272666635643,144.11489907265502,2
2026-05-22,-0.0157648810578936,141.84294483010427,2
2026-05-26,0.0,141.84294483010427,0
2026-05-27,-0.0199845882913449,139.00827197564269,2
2026-05-28,0.0522663774528389,146.2737307877885,2
2026-05-29,0.1244343891402715,164.4752131256355,1
2026-06-01,0.0,164.4752131256355,0
2026-06-02,0.021626984126984,168.03231594918594,1
2026-06-03,-0.0420986883198001,160.95837585238698,1
2026-06-04,0.0,160.95837585238698,0
2026-06-05,0.135436203963029,182.75796727388877,2
2026-06-08,-0.0071005917159763,181.4602775654351,1
2026-06-09,0.1212355212355211,203.45970889962297,1
2026-06-10,0.1901891984864119,242.15554785952096,2
2026-06-11,0.0,242.15554785952096,0
2026-06-12,-0.1235229357798165,212.24378367254303,1
2026-06-15,0.0761133603238866,228.3983712557164,1
2026-06-16,-0.0337316344039105,220.6941208980699,2
2026-06-17,0.0,220.6941208980699,0
2026-06-18,-0.086046511627907,201.7041616580034,1
2026-06-22,0.0328042328042328,208.3209119346152,1
2026-06-23,0.0410256410256411,216.8674108857789,1
2026-06-24,0.1128647979352204,241.3441073941368,2
2026-06-25,0.0,241.3441073941368,0
2026-06-26,0.0036,242.2129461807557,1
2026-06-29,-0.029470113028381,235.0749032798716,2
2026-06-30,0.1368130871500894,267.23622650909954,2
2026-07-01,-0.0217936354869816,261.41217759964377,1
2026-07-02,0.1554679987267617,302.0534056938652,2
2026-07-06,0.1207024029574861,338.5119775826072,1
2026-07-07,-0.0612569610182974,317.7757625676026,1
2026-07-08,-0.0152053215077605,312.94387993038845,2
2026-07-09,-0.0521687303263052,296.6179950510324,2
2026-07-10,0.0,296.6179950510324,0
2026-07-13,0.189373281106759,352.7895180091548,2
