name,event_calendar,event_blackout_sessions,total_ret,maxdd,n_trades,n_event_block,focus_cluster_ret_sum,uplift_vs_extend_pp,end_equity
extend_mtm_only,,,4.011246732921062,-0.1617663721495327,53,0,-2.8395610302016645,0.0,501.1246732921062
core_day,core,0.0,4.817989206519135,-0.14825382996161485,50,3,-2.1340949153056434,0.8067424735980726,581.7989206519135
core_plus1,core,1.0,5.427785803682372,-0.12169884169884171,46,6,-1.1046517145117272,1.41653907076131,642.7785803682373
full_day,default,0.0,6.7327162613189,-0.12169884169884171,44,7,-0.5045066647761776,2.7214695283978374,773.27162613189
full_plus1,default,1.0,4.145122665114888,-0.12169884169884171,40,10,-0.5045066647761776,0.13387593219382588,514.5122665114889
