date,equity,day_ret,n
2026-01-02,108.92683443330519,0.08926834433305197,3
2026-01-05,108.92683443330519,0.0,0
2026-01-06,108.92683443330519,0.0,0
2026-01-07,109.15810231798227,0.0021231488629982476,2
2026-01-08,113.16856529551734,0.036739947767252534,5
2026-01-09,129.1381608684826,0.14111335185052343,4
2026-01-12,129.1381608684826,0.0,0
2026-01-13,129.1381608684826,0.0,0
2026-01-14,128.80913392500327,-0.00254786765791426,3
2026-01-15,125.7777047729295,-0.023534271675475726,3
2026-01-16,135.57666549361122,0.07790697674418601,1
2026-01-20,135.57666549361122,0.0,0
2026-01-21,142.37708325756046,0.05015920504601645,3
2026-01-22,140.43360330703516,-0.013650230121722173,2
2026-01-23,139.46177557578136,-0.006920193659982199,4
2026-01-26,139.46177557578136,0.0,0
2026-01-27,139.46177557578136,0.0,0
2026-01-29,151.6368413128086,0.08730037809113855,4
2026-01-30,157.30381936468595,0.03737203968913505,2
2026-02-02,157.30381936468595,0.0,0
2026-02-03,149.8552146265884,-0.047351709374767514,3
2026-02-04,164.11366187497748,0.09514815539731791,6
2026-02-05,159.24219141994692,-0.02968351567672456,2
2026-02-06,146.1539018807732,-0.08219109158487925,2
2026-02-09,146.04685556591912,-0.000732421875,1
2026-02-10,143.76919967542418,-0.015595377809876299,2
2026-02-11,134.11345898604105,-0.06716139973778867,3
2026-02-12,153.87706518797742,0.1473648234215883,7
2026-02-13,165.84827043424488,0.0777972027972027,1
2026-02-17,165.460241647442,-0.0023396613409769618,3
2026-02-18,156.78533157758605,-0.052428970147041065,3
2026-02-20,149.7455752591091,-0.04490060548166319,3
2026-02-23,171.59127421431606,0.1458854388011579,5
2026-02-24,170.47145164163229,-0.006526104417670542,1
2026-02-25,164.01036907175452,-0.03790125858410798,3
2026-02-26,166.8748955251106,0.01746552043976468,3
2026-02-27,162.47013006636217,-0.026395614780089005,3
2026-03-02,162.25209116481605,-0.0013420245398773067,1
2026-03-03,159.9994280411046,-0.013883723208369503,2
2026-03-04,167.80784667006694,0.048802790888454295,6
2026-03-05,174.7021079300094,0.041084260341517354,4
2026-03-06,171.6853045956565,-0.017268270944741593,1
2026-03-09,171.6853045956565,0.0,0
2026-03-11,168.66810777863452,-0.01757399577167018,1
2026-03-12,164.87066284592458,-0.022514303283071357,2
2026-03-13,231.25876508788807,0.4026677705784727,6
2026-03-16,225.27160201461524,-0.02588945362134687,1
2026-03-18,219.61574448540213,-0.02510683760683763,1
2026-04-01,223.06906894624385,0.015724393844956053,3
2026-04-02,214.26371096152369,-0.03947368421052633,1
2026-04-06,201.40350663285145,-0.06002044989775057,1
2026-04-07,205.4802050451868,0.020241447035810545,3
2026-04-08,191.11897183468943,-0.06989107883817436,1
2026-04-09,214.604328189827,0.12288343815208203,4
2026-04-10,248.323924590742,0.1571244936452938,6
2026-04-13,256.1412752772961,0.03148045722713877,2
2026-05-01,284.58670853674636,0.11105368796440773,3
2026-05-04,293.18882567135836,0.030226700251889227,1
2026-05-05,328.2139217038923,0.1194625884950824,2
2026-05-06,311.5216695584125,-0.05085784313725494,1
2026-05-07,297.0138488664767,-0.04657082350804331,3
2026-05-08,311.5979492438857,0.049102425469612854,3
2026-05-11,324.9865439762261,0.04296753160548317,4
2026-05-12,340.09732866930096,0.04649664724020175,2
2026-05-13,394.3965006656317,0.15965774329597693,5
2026-05-14,390.83685173789877,-0.009025559105431347,1
2026-05-15,390.287151524484,-0.0014064697609001975,1
2026-05-18,430.0110835103022,0.10178129572201966,3
2026-05-19,437.46379457725396,0.01733143947386928,3
2026-05-20,434.335028026862,-0.007152058271280404,2
2026-05-21,408.49018496622745,-0.059504394978330266,2
2026-05-22,396.01781179010965,-0.030532858891454073,3
2026-05-26,396.01781179010965,0.0,0
2026-05-27,374.4163137137807,-0.05454678409206948,3
2026-05-28,371.6601039748807,-0.007361350555379231,6
2026-05-29,371.2692722536629,-0.0010515837375006942,2
2026-06-01,371.2692722536629,0.0,0
2026-06-02,409.57878796974796,0.10318525819155533,3
2026-06-03,469.32871815354366,0.14588140777497705,4
2026-06-04,469.32871815354366,0.0,0
2026-06-05,548.504518875439,0.16870009794711205,6
2026-06-08,530.8336258704313,-0.03221649484536071,1
2026-06-09,599.3144532567395,0.12900619713760064,4
2026-06-10,620.1381409424667,0.034745845978799705,4
2026-06-11,620.1381409424667,0.0,0
2026-06-12,573.4184231458062,-0.0753375977256574,1
2026-06-15,803.3315683091631,0.40095179346007104,5
2026-06-16,774.4743888963385,-0.03592187902382904,3
2026-06-17,774.4743888963385,0.0,0
2026-06-18,749.2857626117005,-0.03252351097178685,1
2026-06-22,790.0707720687438,0.05443184895824471,3
2026-06-23,806.0483434953876,0.020222962285780577,2
2026-06-24,839.2390489206922,0.04117706548638855,2
2026-06-25,839.2390489206922,0.0,0
2026-06-26,826.461172717798,-0.015225550121061748,2
2026-06-29,765.1823394830558,-0.07414605217717396,3
2026-06-30,864.7896742999719,0.13017463900723203,5
2026-07-01,861.5815431935006,-0.003709724111898405,3
2026-07-02,1027.1939761802782,0.19221910484865523,6
2026-07-06,1245.4887768463548,0.21251565500590952,5
2026-07-07,1216.8830386789487,-0.02296747967479673,1
2026-07-08,1214.4081380466403,-0.0020338032116834492,3
2026-07-09,1170.0755362011025,-0.0365055210489994,2
2026-07-10,1263.4087165913118,0.07976679923865015,4
2026-07-13,1571.3161337173776,0.2437116453943764,5
