name,exit_mode,hold_minutes,hold_extend_minutes,hold_extend_mtm_min,hold_extend_require_mf,total_ret,maxdd,n_trades,trade_win,trade_exp,n_t45_exits,uplift_vs_baseline_pp
baseline_t30_rails,none,30,,,,3.748142013653913,-0.16542448828556222,53,0.6415094339622641,0.18196538298915746,0,0.0
t45_rails,none,45,,,,3.403413874008635,-0.20161463449029116,53,0.5660377358490566,0.18071243037454238,23,-0.3447281396452784
extend_mtm_mf,hold_extend,30,45.0,0.0,True,3.9857238039028697,-0.1617663721495327,53,0.5660377358490566,0.19535914430692297,9,0.23758179024895654
extend_mtm_only,hold_extend,30,45.0,0.0,False,4.011246732921062,-0.1617663721495327,53,0.5471698113207547,0.19741848830870173,11,0.2631047192671492
extend_mtm5_mf,hold_extend,30,45.0,0.05,True,3.451665844837118,-0.1617663721495327,53,0.5660377358490566,0.18400065374088523,9,-0.2964761688167954
