date,equity,day_ret,n,day_halt
2026-01-02,119.38319182555567,0.1938319182555568,2,False
2026-01-05,119.38319182555567,0.0,0,False
2026-01-06,119.38319182555567,0.0,0,False
2026-01-07,119.38319182555567,0.0,0,False
2026-01-08,123.15788956522245,0.03161833489242283,1,False
2026-01-09,122.10413222134889,-0.00855614973262031,1,False
2026-01-12,122.10413222134889,0.0,0,False
2026-01-13,122.10413222134889,0.0,0,False
2026-01-14,118.7704664194516,-0.027301826246584948,2,False
2026-01-15,117.7505639936354,-0.008587172018120204,2,False
2026-01-16,117.7505639936354,0.0,0,False
2026-01-20,117.7505639936354,0.0,0,False
2026-01-21,126.42765357570835,0.07369042905426726,2,False
2026-01-22,125.33294442582846,-0.008658779301194186,2,False
2026-01-23,162.13491591092614,0.2936336623518563,2,False
2026-01-26,162.13491591092614,0.0,0,False
2026-01-27,162.13491591092614,0.0,0,False
2026-01-29,192.6966112326902,0.18849545855103833,2,False
2026-01-30,216.30131965677265,0.12249674902470731,1,False
2026-02-02,216.30131965677265,0.0,0,False
2026-02-03,203.37325840705782,-0.05976875809278048,2,False
2026-02-04,223.64090974478083,0.09965740577926274,2,False
2026-02-05,219.7175195845298,-0.01754325791613165,2,False
2026-02-06,207.901829077273,-0.053776733551331946,2,False
2026-02-09,208.5635855623996,0.0031830238726791027,1,False
2026-02-10,205.70575926888023,-0.013702422145328574,1,False
2026-02-11,178.9340534145177,-0.13014563106796118,2,False
2026-02-12,207.21806997847014,0.1580695011610218,2,False
2026-02-13,193.08412069670166,-0.06820809248554915,1,False
2026-02-17,193.08412069670166,0.0,0,False
2026-02-18,186.66676641314174,-0.03323605411156705,2,False
2026-02-20,209.32795822049846,0.12139917695473246,1,False
2026-02-23,249.2161849459007,0.19055374668769964,2,False
2026-02-24,245.987996021731,-0.012953367875647714,1,False
2026-02-25,230.8030603323154,-0.061730393088263225,2,False
2026-02-26,223.0008069490872,-0.03380480905233374,1,False
2026-02-27,250.1136691726351,0.12158190185266005,2,False
2026-03-02,250.1136691726351,0.0,0,False
2026-03-03,231.37520346919686,-0.07491979852770247,2,False
2026-03-04,231.15942419357,-0.0009325946445060129,2,False
2026-03-05,236.26246918364075,0.022075868236276275,2,False
2026-03-06,225.12541986704574,-0.047138461538461573,1,False
