date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,AMZN260102P00232500,signal_atm,1s,226.42,232.5,0.0,2026-01-02 10:52:00-05:00,1,5.89,7.04,0.19524617996604432,T+30,2026-01-02 10:52:00-05:00,2026-01-02 11:22:08-05:00,-0.0091442763603522,5.0,1.2191360807848761
2026-01-02,MSFT,DN,ATM,MSFT260102P00477500,MSFT260102P00472500,signal_atm,1s,474.64,477.5,0.0,2026-01-02 10:56:00-05:00,1,3.16,5.08,0.6075949367088607,TP,2026-01-02 10:56:00-05:00,2026-01-02 11:18:40-05:00,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,MSFT260102P00472500,signal_atm,1s,472.3775,472.5,0.0,2026-01-02 12:48:00-05:00,2,0.8099999999999999,1.302,0.6074074074074076,TP,2026-01-02 12:48:00-05:00,2026-01-02 13:14:03-05:00,-0.013418056317130445,3.0,0.20555917728929546
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,MSFT260102P00472500,signal_atm,1s,471.5315,472.5,0.0,2026-01-02 13:32:00-05:00,3,1.348,2.18,0.6172106824925816,TP,2026-01-02 13:32:01-05:00,2026-01-02 13:49:44-05:00,-0.013950262877786002,3.0,0.3712570711005046
2026-01-07,MSFT,UP,ATM,MSFT260109C00487500,MSFT260109C00490000,signal_atm,1s,488.54,487.5,2.0,2026-01-07 12:15:00-05:00,1,4.069999999999999,4.180000000000001,0.027027027027027417,T+30,2026-01-07 12:15:04-05:00,2026-01-07 12:45:00-05:00,0.006287231141835159,0.0,-0.1704646303954792
2026-01-07,MSFT,UP,ATM,MSFT260109C00487500,MSFT260109C00490000,signal_atm,1s,488.37,487.5,2.0,2026-01-07 13:23:00-05:00,2,3.83,3.77,-0.015665796344647487,T+30,2026-01-07 13:23:00-05:00,2026-01-07 13:53:03-05:00,0.005116525253821225,1.0,0.4564137061048817
2026-01-08,AMD,DN,ATM,AMD260109P00205000,AMD260109P00205000,signal_atm,1s,205.645,205.0,1.0,2026-01-08 10:40:00-05:00,1,2.166,2.5060000000000002,0.15697137580794096,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,signal_atm,1s,185.18,185.0,1.0,2026-01-08 11:00:00-05:00,1,1.486,1.744,0.17362045760430678,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00,-0.005832772489824722,1.0,-1.695183503455676
2026-01-08,AMD,DN,ATM,AMD260109P00205000,AMD260109P00205000,signal_atm,1s,204.1579,205.0,1.0,2026-01-08 11:15:00-05:00,2,2.79,2.662,-0.0458781362007169,T+30,2026-01-08 11:15:01-05:00,2026-01-08 11:45:02-05:00,-0.007771688619683914,1.0,-0.18912422469270787
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,signal_atm,1s,184.7,185.0,1.0,2026-01-08 12:00:00-05:00,2,1.726,2.004,0.16106604866743912,T+30,2026-01-08 12:00:00-05:00,2026-01-08 12:30:00-05:00,-0.006633977502163213,2.0,-0.42901889562072093
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,signal_atm,1s,184.11,185.0,1.0,2026-01-08 12:39:00-05:00,3,2.218,1.884,-0.15058611361587015,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:09:00-05:00,-0.006425664198955183,0.0,-1.0642147207584207
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,TSLA260109C00445000,day_lock_fallback,1s,444.62,,,2026-01-09 11:56:00-05:00,1,1.244,1.336,0.07395498392282973,T+30,2026-01-09 11:56:00-05:00,2026-01-09 12:26:02-05:00,0.009437003368631514,0.0,-2.3408387765018155
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,TSLA260109C00445000,day_lock_fallback,1s,444.9586,,,2026-01-09 12:33:00-05:00,2,1.106,1.774,0.6039783001808317,TP,2026-01-09 12:33:00-05:00,2026-01-09 12:41:13-05:00,0.009525651564237902,0.0,0.060179576218796146
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,TSLA260109C00445000,day_lock_fallback,1s,446.705,,,2026-01-09 12:52:00-05:00,3,2.394,3.86,0.6123642439431911,TP,2026-01-09 12:52:00-05:00,2026-01-09 13:06:52-05:00,0.009509533710491347,0.0,0.19375436997284068
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,TSLA260109C00445000,signal_atm,1s,448.275,445.0,0.0,2026-01-09 13:13:00-05:00,4,3.73,3.03,-0.18766756032171583,T+30,2026-01-09 13:13:01-05:00,2026-01-09 13:43:03-05:00,0.008526344631949012,0.0,1.4643709069960196
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,TSLA260116P00437500,signal_atm,1s,437.515,437.5,2.0,2026-01-14 10:43:00-05:00,1,5.38,5.92,0.1003717472118959,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00,-0.01326290067557856,6.0,1.1729861003136912
2026-01-14,META,DN,ATM,META260116P00617500,META260116P00630000,signal_atm,1s,618.2599,617.5,2.0,2026-01-14 10:50:00-05:00,1,5.819999999999999,4.47,-0.2319587628865979,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:20:01-05:00,-0.016003066455847814,4.0,0.9717114239353104
2026-01-14,TSLA,DN,ATM,TSLA260116P00435000,TSLA260116P00437500,signal_atm,1s,436.1199,435.0,2.0,2026-01-14 11:45:00-05:00,2,5.04,5.22,0.03571428571428559,T+30,2026-01-14 11:45:03-05:00,2026-01-14 12:15:00-05:00,-0.015284365866513383,1.0,0.5124478253718064
2026-01-15,NVDA,UP,ATM,NVDA260116C00188000,NVDA260116C00187500,signal_atm,1s,187.985,188.0,1.0,2026-01-15 10:38:00-05:00,1,1.758,1.474,-0.161547212741752,T+30,2026-01-15 10:38:00-05:00,2026-01-15 11:08:00-05:00,0.010409101912369989,2.0,1.5832437358347953
2026-01-15,AMD,UP,ATM,AMD260116C00237500,AMD260116C00237500,signal_atm,1s,236.2501,237.5,1.0,2026-01-15 10:56:00-05:00,1,2.646,2.782,0.05139833711262298,T+30,2026-01-15 10:56:00-05:00,2026-01-15 11:26:01-05:00,0.008069555394174088,4.0,0.848380060201713
2026-01-15,AMD,UP,ATM,AMD260116C00237500,AMD260116C00237500,signal_atm,1s,236.97,237.5,1.0,2026-01-15 12:00:00-05:00,2,2.63,2.39,-0.09125475285171092,T+30,2026-01-15 12:00:00-05:00,2026-01-15 12:30:00-05:00,0.011345114177358173,0.0,-0.11161802141950812
2026-01-16,AMD,UP,ATM,AMD260116C00232500,AMD260116C00232500,day_lock_fallback,1s,233.1,,,2026-01-16 12:23:00-05:00,1,1.29,2.094,0.6232558139534883,TP,2026-01-16 12:23:00-05:00,2026-01-16 12:28:08-05:00,0.0001930315606601951,3.0,-0.07420655400231077
2026-01-21,AMD,UP,ATM,AMD260123C00247500,AMD260123C00250000,signal_atm,1s,247.9233,247.5,2.0,2026-01-21 10:30:00-05:00,1,5.08,8.129999999999999,0.6003937007874014,TP,2026-01-21 10:30:00-05:00,2026-01-21 10:42:36-05:00,0.010015788434971418,8.0,-1.1425478720893087
2026-01-21,TSLA,UP,ATM,TSLA260123C00427500,TSLA260123C00427500,signal_atm,1s,428.02,427.5,2.0,2026-01-21 10:37:00-05:00,1,6.08,5.92,-0.02631578947368418,T+30,2026-01-21 10:37:00-05:00,2026-01-21 11:07:01-05:00,0.011857772514966225,8.0,-1.0212153370683588
2026-01-21,AMD,UP,ATM,AMD260123C00252500,AMD260123C00250000,signal_atm,1s,251.8,252.5,2.0,2026-01-21 11:19:00-05:00,2,5.48,4.53,-0.17335766423357668,T+30,2026-01-21 11:19:00-05:00,2026-01-21 11:49:00-05:00,0.012581409117821352,9.0,1.000208246375212
2026-01-22,META,UP,ATM,META260123C00635000,META260123C00640000,signal_atm,1s,635.58,635.0,1.0,2026-01-22 10:31:00-05:00,1,5.77,5.48,-0.05025996533795485,T+30,2026-01-22 10:31:00-05:00,2026-01-22 11:01:00-05:00,0.004366032591053504,4.0,-1.4210571724824128
2026-01-22,AMD,UP,ATM,AMD260123C00255000,AMD260123C00255000,signal_atm,1s,255.34,255.0,1.0,2026-01-22 11:49:00-05:00,1,3.43,3.36,-0.020408163265306256,T+30,2026-01-22 11:49:00-05:00,2026-01-22 12:19:03-05:00,0.008521067324547271,1.0,-0.22940947895049477
2026-01-23,MSFT,UP,ATM,MSFT260123C00460000,MSFT260123C00467500,signal_atm,1s,464.84,460.0,0.0,2026-01-23 10:40:00-05:00,1,5.93,7.82,0.318718381112985,T+30,2026-01-23 10:40:00-05:00,2026-01-23 11:10:00-05:00,0.004526563355778279,1.0,-1.9079645122349747
2026-01-23,AMZN,UP,ATM,AMZN260123C00237500,AMZN260123C00240000,signal_atm,1s,239.325,237.5,0.0,2026-01-23 10:55:00-05:00,1,1.902,1.83,-0.03785488958990524,T+30,2026-01-23 10:55:00-05:00,2026-01-23 11:25:00-05:00,0.006294983730146031,0.0,-1.5898634265262623
2026-01-23,MSFT,UP,ATM,MSFT260123C00460000,MSFT260123C00467500,signal_atm,1s,468.9799,460.0,0.0,2026-01-23 11:17:00-05:00,2,9.14,8.21,-0.10175054704595188,T+30,2026-01-23 11:17:06-05:00,2026-01-23 11:47:04-05:00,0.00629852765875194,0.0,-0.9003199938300495
2026-01-29,TSLA,DN,ATM,TSLA260130P00422500,TSLA260130P00417500,signal_atm,1s,422.8,422.5,1.0,2026-01-29 10:30:00-05:00,1,6.13,9.82,0.601957585644372,TP,2026-01-29 10:30:00-05:00,2026-01-29 10:49:26-05:00,-0.015672148759025006,11.0,0.38288119523831304
2026-01-29,AMD,DN,ATM,AMD260130P00247500,AMD260130P00250000,signal_atm,1s,247.1,247.5,1.0,2026-01-29 10:33:00-05:00,1,3.93,6.34,0.6132315521628497,TP,2026-01-29 10:33:00-05:00,2026-01-29 10:50:20-05:00,-0.01717300977929448,9.0,0.8419183863219979
2026-01-29,TSLA,DN,ATM,TSLA260130P00420000,TSLA260130P00417500,signal_atm,1s,421.2496,420.0,1.0,2026-01-29 11:43:00-05:00,2,5.58,4.17,-0.25268817204301075,T+30,2026-01-29 11:43:00-05:00,2026-01-29 12:13:00-05:00,-0.01633568731535462,8.0,-1.3321535562869833
2026-01-29,AMD,DN,ATM,AMD260130P00247500,AMD260130P00250000,signal_atm,1s,247.6044,247.5,1.0,2026-01-29 12:53:00-05:00,2,3.27,3.08,-0.05810397553516822,T+30,2026-01-29 12:53:00-05:00,2026-01-29 13:23:00-05:00,-0.014582049702197564,4.0,1.3263076994358636
