date,month,entry_ts,leg,net_return_pct,exit_reason
2026-05-20,5,2026-05-20T14:44:00+00:00,CALL,20.3875,MAX_HOLD
2026-05-21,5,2026-05-21T14:04:00+00:00,CALL,-22.6463,SOFT_STOP
2026-05-26,5,2026-05-26T16:57:00+00:00,CALL,-5.5879,TIME_STOP
2026-05-26,5,2026-05-26T18:07:00+00:00,CALL,2.3285,TIME_STOP
2026-05-28,5,2026-05-28T14:25:00+00:00,CALL,42.9147,MAX_HOLD
2026-05-29,5,2026-05-29T13:47:00+00:00,CALL,3.8638,STEP_PROTECT
2026-05-29,5,2026-05-29T16:16:00+00:00,CALL,-12.8462,EARLY_STOP
2026-06-01,6,2026-06-01T14:41:00+00:00,CALL,0.9438,TIME_STOP
2026-06-01,6,2026-06-01T15:23:00+00:00,CALL,10.7766,STEP_PROTECT
2026-06-01,6,2026-06-01T16:11:00+00:00,CALL,2.4091,TIME_STOP
2026-06-01,6,2026-06-01T17:10:00+00:00,CALL,9.9161,STEP_PROTECT
2026-06-02,6,2026-06-02T13:51:00+00:00,CALL,10.4921,STEP_PROTECT
2026-06-02,6,2026-06-02T14:30:00+00:00,CALL,31.9068,MAX_HOLD
2026-06-02,6,2026-06-02T15:27:00+00:00,CALL,2.4321,TIME_STOP
2026-06-02,6,2026-06-02T16:18:00+00:00,CALL,-13.333,EARLY_STOP
2026-06-04,6,2026-06-04T14:32:00+00:00,CALL,54.6137,MAX_HOLD
2026-06-04,6,2026-06-04T15:29:00+00:00,CALL,-16.553,EARLY_STOP
2026-06-04,6,2026-06-04T16:00:00+00:00,CALL,19.5282,MAX_HOLD
2026-06-04,6,2026-06-04T16:57:00+00:00,CALL,7.2372,MAX_HOLD
2026-06-05,6,2026-06-05T18:12:00+00:00,PUT,25.5561,MAX_HOLD
2026-06-09,6,2026-06-09T14:31:00+00:00,PUT,49.147,MAX_HOLD
2026-06-10,6,2026-06-10T14:48:00+00:00,PUT,23.734,STEP_PROTECT
2026-06-10,6,2026-06-10T17:36:00+00:00,PUT,-17.6506,EARLY_STOP
2026-06-11,6,2026-06-11T14:12:00+00:00,CALL,-13.3229,EARLY_STOP
2026-06-11,6,2026-06-11T16:10:00+00:00,CALL,-13.2509,EARLY_STOP
2026-06-12,6,2026-06-12T14:07:00+00:00,CALL,0.4499,TIME_STOP
2026-06-12,6,2026-06-12T14:53:00+00:00,CALL,14.5104,MAX_HOLD
2026-06-12,6,2026-06-12T15:51:00+00:00,CALL,9.9945,STEP_PROTECT
2026-06-12,6,2026-06-12T16:50:00+00:00,CALL,6.4076,MAX_HOLD
2026-06-15,6,2026-06-15T14:02:00+00:00,CALL,-2.4011,TIME_STOP
2026-06-15,6,2026-06-15T16:13:00+00:00,CALL,-2.8708,TIME_STOP
2026-06-15,6,2026-06-15T17:15:00+00:00,CALL,-0.2229,TIME_STOP
2026-06-16,6,2026-06-16T14:21:00+00:00,PUT,21.4885,STEP_PROTECT
2026-06-16,6,2026-06-16T17:23:00+00:00,PUT,-5.9762,TIME_STOP
2026-06-17,6,2026-06-17T14:41:00+00:00,PUT,1.6013,TIME_STOP
2026-06-22,6,2026-06-22T14:26:00+00:00,PUT,40.7347,TRAILING
2026-06-23,6,2026-06-23T16:10:00+00:00,CALL,-2.773,TIME_STOP
2026-06-23,6,2026-06-23T16:57:00+00:00,CALL,1.6845,TIME_STOP
2026-06-23,6,2026-06-23T17:39:00+00:00,CALL,-12.899,EARLY_STOP
2026-06-24,6,2026-06-24T15:38:00+00:00,PUT,-1.9802,TIME_STOP
2026-06-24,6,2026-06-24T17:53:00+00:00,PUT,-12.7758,EARLY_STOP
2026-06-26,6,2026-06-26T14:00:00+00:00,CALL,12.4789,STEP_PROTECT
2026-06-26,6,2026-06-26T15:18:00+00:00,CALL,12.973,STEP_PROTECT
2026-06-26,6,2026-06-26T16:05:00+00:00,CALL,3.2007,MAX_HOLD
2026-06-26,6,2026-06-26T17:27:00+00:00,CALL,-7.2242,TIME_STOP
2026-06-30,6,2026-06-30T13:46:00+00:00,CALL,7.5393,STEP_PROTECT
2026-06-30,6,2026-06-30T14:13:00+00:00,CALL,2.8064,TIME_STOP
2026-06-30,6,2026-06-30T14:55:00+00:00,CALL,18.3278,MAX_HOLD
2026-06-30,6,2026-06-30T15:52:00+00:00,CALL,8.0095,MAX_HOLD
