date,equity,day_ret,n,day_halt
2026-01-02,103.85886781601397,0.03858867816013967,3,False
2026-01-05,103.85886781601397,0.0,0,False
2026-01-06,103.85886781601397,0.0,0,False
2026-01-07,103.85886781601397,0.0,0,False
2026-01-08,105.77534550675891,0.01845271117474523,5,False
2026-01-09,105.61762878880648,-0.0014910536779324524,1,False
2026-01-12,105.61762878880648,0.0,0,False
2026-01-13,105.61762878880648,0.0,0,False
2026-01-14,102.51645910662616,-0.02936223543118399,2,False
2026-01-15,102.27292028203715,-0.0023756070655513994,2,False
2026-01-16,102.12042586809773,-0.0014910536779324524,1,False
2026-01-20,102.12042586809773,0.0,0,False
2026-01-21,102.60439308227295,0.004739181315208452,3,False
2026-01-22,106.23708288478194,0.03540481740968082,6,False
2026-01-23,103.24669936073856,-0.02814820816650776,2,False
2026-01-26,103.24669936073856,0.0,0,False
2026-01-27,103.24669936073856,0.0,0,False
2026-01-29,111.77863788085173,0.08263642879568511,4,False
2026-01-30,127.41521631695358,0.13988879031402535,2,False
2026-02-02,127.41521631695358,0.0,0,False
2026-02-03,123.5635471787001,-0.03022927127221753,2,False
2026-02-04,129.87204353450903,0.0510546718660112,6,False
2026-02-05,121.59755329729305,-0.06371263600712751,3,False
2026-02-06,117.55761162030402,-0.033223873075075794,4,False
2026-02-09,117.3823269111286,-0.0014910536779324524,1,False
2026-02-10,113.85881884148216,-0.030017364303181027,2,False
2026-02-11,113.15264971202137,-0.006202146980322509,2,False
2026-02-12,138.62838134737737,0.22514480836456663,7,False
2026-02-13,138.42167898950353,-0.0014910536779324524,1,False
2026-02-17,136.56362318035903,-0.013423156132106984,3,False
2026-02-18,132.94349094528945,-0.026508759439462737,3,False
2026-02-20,132.54733474845628,-0.002979884114794329,2,False
2026-02-23,138.92651548635197,0.048127567031067686,3,False
2026-02-24,137.7165893224267,-0.008709108982468794,1,False
2026-02-25,137.46144322431948,-0.0018526896386452663,3,False
2026-02-26,141.0347586790856,0.025995038106321422,3,False
2026-02-27,141.86637369124819,0.0058965252250677835,5,False
2026-03-02,139.90266667966705,-0.013841948310139074,1,False
2026-03-03,138.90994624782417,-0.007095793492742364,2,False
2026-03-04,142.72516723657398,0.027465427003644738,6,False
2026-03-05,146.21984240498827,0.024485346460457746,4,False
2026-03-06,145.37213253314948,-0.005797502294461965,1,False
2026-03-09,145.37213253314948,0.0,0,False
2026-03-11,143.44258537862535,-0.01327315710997179,1,False
2026-03-12,140.86759120480855,-0.017951392656650356,2,False
2026-03-13,140.44782210748798,-0.00297988411479444,2,False
2026-03-16,139.2452830572813,-0.008562176558966739,1,False
2026-03-18,138.77576180710204,-0.0033719005762380405,1,False
2026-04-01,143.2927331128029,0.0325487048089812,3,False
2026-04-02,142.43939157719316,-0.005955232460657767,1,False
2026-04-06,142.01493869691132,-0.002979884114794329,2,False
2026-04-07,142.2734453174193,0.0018202776614908434,3,False
2026-04-08,148.49957784579706,0.04376173300988784,2,False
2026-04-09,150.6359196833493,0.014386181217098226,3,False
2026-04-10,150.18704209916746,-0.002979884114794329,2,False
2026-04-13,149.96310515766768,-0.0014910536779325634,1,False
2026-05-01,164.41389957598437,0.09636233127557259,4,False
2026-05-04,164.61180244444202,0.001203686969094564,1,False
2026-05-05,184.69814115803166,0.1220224699281145,2,False
2026-05-06,178.15327600489096,-0.03543546844654366,2,False
2026-05-07,166.5475988280147,-0.06514433771376527,3,False
2026-05-08,165.68444277538185,-0.005182638829420716,3,False
2026-05-11,157.3471731186406,-0.050320171991308116,1,False
2026-05-12,161.76846079578672,0.028098933012367766,2,False
2026-05-13,166.6213467353507,0.02999896219381215,4,False
2026-05-14,165.34394401497656,-0.007666500994035763,1,False
2026-05-15,162.96967491772125,-0.014359577010212399,3,False
2026-05-18,163.6477249453516,0.004160590170979139,2,False
2026-05-19,167.01882134433185,0.020599714417698145,3,False
2026-05-20,165.18189427898812,-0.010998323725184611,2,False
2026-05-21,152.79754115354314,-0.07497403501456479,2,False
2026-05-22,154.40144333436336,0.01049691093659999,3,False
2026-05-26,154.40144333436336,0.0,0,False
2026-05-27,146.8704079204024,-0.048775680144726,3,False
2026-05-28,149.7257816425909,0.019441450205108568,4,False
2026-05-29,153.68153251587,0.026419971429648914,2,False
2026-06-01,153.68153251587,0.0,0,False
2026-06-02,165.26736287414107,0.07538856600792054,3,False
2026-06-03,164.0051384289741,-0.007637469511316719,3,False
2026-06-04,164.0051384289741,0.0,0,False
2026-06-05,199.74046586840808,0.21789151109378135,7,False
2026-06-08,199.3765919529,-0.0018217335877639407,1,False
2026-06-09,219.77981219533223,0.10233508378582479,4,False
2026-06-10,223.1960401103031,0.01554386583939138,5,False
2026-06-11,223.1960401103031,0.0,0,False
2026-06-12,209.71426926873355,-0.06040327075205676,1,False
2026-06-15,217.40683744767517,0.03668118629106809,5,False
2026-06-16,204.8980625188451,-0.05753625357730818,4,False
2026-06-17,204.8980625188451,0.0,0,False
2026-06-18,200.50256971233554,-0.021452095507761615,1,False
2026-06-22,200.20360961833106,-0.0014910536779324524,1,False
2026-06-23,202.1122166259957,0.009533329650265543,2,False
2026-06-24,211.83412501062375,0.04810153758601454,2,False
2026-06-25,211.83412501062375,0.0,0,False
2026-06-26,211.51826895941505,-0.0014910536779324524,1,False
2026-06-29,207.28531191454496,-0.02001225268008544,4,False
2026-06-30,231.54827443825425,0.11705104572827563,5,False
2026-07-01,228.81983324882071,-0.011783465871438081,1,False
2026-07-02,233.84839700499288,0.021976083474827268,3,False
2026-07-06,244.24200630802153,0.0444459292265611,4,False
2026-07-07,234.13547799159792,-0.04137915696482586,1,False
2026-07-08,234.82976946397173,0.002965340743442235,4,False
2026-07-09,224.0599453769119,-0.04586226061390464,2,False
2026-07-10,217.53246985774004,-0.029132719407707675,3,False
2026-07-13,222.11597776335603,0.021070454027453778,3,False
